dataset_id,version_from,version_to,code,is_breaking
D1,D0,D1,C223,True
D2,D0,D2,C223,True
D3,D0,D3,C210,True
D3,D0,D3,C221,False
D3,D0,D3,C222,True
D3,D0,D3,C223,True
D3,D0,D3,C311,True
D3,D0,D3,C322,False
D3,D0,D3,C422,False
D4,D0,D4,C210,True
D4,D0,D4,C221,False
D4,D0,D4,C222,True
D4,D0,D4,C223,True
D4,D0,D4,C311,True
D4,D0,D4,C322,False
D4,D0,D4,C422,False
D5,D0,D5,C221,False
D5,D0,D5,C223,True
D6,D0,D6,C221,False
D6,D0,D6,C222,True
D6,D0,D6,C312,False
D6,D0,D6,C322,False
D6,D0,D6,C422,False
D6,D0,D6,C530,False
D7,D0,D7,C221,False
D7,D0,D7,C222,True
D7,D0,D7,C311,True
D7,D0,D7,C322,False
D7,D0,D7,C421,False
D7,D0,D7,C530,False
