dataset_id,version_from,version_to,code,is_breaking
census_income_D1,D0,D1,C223,True
census_income_D1,D0,D1,C410,True
census_income_D2,D0,D2,C223,True
census_income_D2,D0,D2,C410,True
census_income_D3,D0,D3,C210,True
census_income_D3,D0,D3,C221,False
census_income_D3,D0,D3,C222,True
census_income_D3,D0,D3,C223,True
census_income_D3,D0,D3,C311,True
census_income_D3,D0,D3,C322,False
census_income_D3,D0,D3,C422,False
census_income_D4,D0,D4,C210,True
census_income_D4,D0,D4,C221,False
census_income_D4,D0,D4,C222,True
census_income_D4,D0,D4,C223,True
census_income_D4,D0,D4,C311,True
census_income_D4,D0,D4,C322,False
census_income_D4,D0,D4,C422,False
census_income_D5,D0,D5,C221,False
census_income_D5,D0,D5,C223,True
census_income_D5,D0,D5,C410,True
census_income_D6,D0,D6,C221,False
census_income_D6,D0,D6,C222,True
census_income_D6,D0,D6,C312,False
census_income_D6,D0,D6,C322,False
census_income_D6,D0,D6,C422,False
census_income_D6,D0,D6,C530,False
census_income_D7,D0,D7,C221,False
census_income_D7,D0,D7,C222,True
census_income_D7,D0,D7,C311,True
census_income_D7,D0,D7,C322,False
census_income_D7,D0,D7,C421,False
census_income_D7,D0,D7,C530,False
