dataset_id,version_label,version_order,version_source,commit_sha,commit_date,authors,approx_size_bytes,session_commit_count,status
ykorkmaz/aloha_open_bottle_failure,v2.1,1,tag,1e118f8ba02331f2fd8b3ed4e8dd31c81628c575,2026-01-21T20:31:55+00:00,ykorkmaz,31083668,1,ok
ykorkmaz/aloha_open_bottle_failure,v3.0,2,tag,b3febf30f6f0bf717aae1eddbcebb76c1310d107,2026-01-22T03:54:10+00:00,ykorkmaz,31142830,1,ok
davidgoss/so100_test,session-1,1,commit_session,f66dad41206763ae9e345ef82de6d54b01eb0b70,2025-04-12T08:48:33+00:00,davidgoss,73587792,1,ok
davidgoss/so100_test,session-2,2,commit_session,5f3406fe53a35ee9ee611b6d55fd38db8f35fa69,2025-06-02T11:48:39+00:00,davidgoss,78338821,1,ok
davidgoss/so100_test,session-3,3,commit_session,e7507a5bfd86766f4277e54b0b1476113296c446,2025-06-09T00:49:55+00:00,davidgoss,900672043,2,ok
davidgoss/so100_test,session-4,4,commit_session,7b841975419ba112d7aeb0c93e91895b0cef8290,2025-06-09T16:19:04+00:00,davidgoss,902779489,1,ok
jackvial/koch_test,session-1,1,commit_session,a4db70102013583368d47cc54b0a56be9b2b6851,2024-08-10T23:22:00+00:00,jackvial,7922316,4,ok
jackvial/koch_test,session-2,2,commit_session,d94b3acd457e76fa47d66ed61a18e1d104b6b648,2024-12-08T23:57:21+00:00,jackvial,75998078,1,ok
hotosm/fAIr-guru-td-buildings,v0.1.0,1,tag,eee4ba90cd78a21ba4527f927c4d3bf83c4fe893,2026-08-05T23:21:39+00:00,kshitijrajsharma,31293617,1,ok
hotosm/fAIr-guru-td-buildings,v0.2.0,2,tag,e5c3a8d7ad93b23ffc686b9ac45bbef91d318ef7,2026-08-05T23:43:23+00:00,kshitijrajsharma,31296240,1,ok
hotosm/fAIr-guru-td-buildings,v0.2.1,3,tag,2515368d93a00e1a6766d906c109cc5fe84a882c,2026-08-05T23:45:38+00:00,kshitijrajsharma,31296321,1,ok
yunosuken/sentiment-train,v20230314_01,1,tag,0ad9bb724c61c6d772a37f33bbabda233442d00c,2023-03-14T15:20:14+00:00,yunosuke-github,605876,1,ok
yunosuken/sentiment-train,v20230314_02,2,tag,a680d2411241d9d896083bf2901b83366145c416,2023-03-14T15:36:48+00:00,yunosuke-github,604046,1,ok
xhaka3456/Pick_Place,_version_,1,tag,fd5a887abec8fbb6c6ab739c0595221ff028cf93,2025-05-29T07:03:06+00:00,xhaka3456,630522427,1,ok
xhaka3456/Pick_Place,v2.0,2,tag,fd5a887abec8fbb6c6ab739c0595221ff028cf93,2025-05-29T07:03:06+00:00,xhaka3456,630522427,1,ok
HanyueShen/YunXiaoHe-RISA-Avalon-Eval,v0.3.9.8-20260906,1,tag,3fdeb5c3d93d7cda80881b01fab52a4c4a88088e,2026-09-06T09:57:21+00:00,HanyueShen,895261,1,ok
HanyueShen/YunXiaoHe-RISA-Avalon-Eval,v0.3.9.8-20260906-r2,2,tag,d35fdb74fbb15bba224fb6feed6b3d4fcc838966,2026-09-06T10:36:01+00:00,HanyueShen,4140285,1,ok
nvidia/earth2studio-assets,session-1,1,commit_session,6065070f87e4299a1984b41db7e0e724e50d0423,2026-02-09T21:50:06+00:00,ngeneva,2307899,1,ok
nvidia/earth2studio-assets,session-2,2,commit_session,1831c0a085e6b1631d1bc36c0e3eeb082db731af,2026-06-05T08:19:56+00:00,ngeneva,9812967,3,ok
nvidia/earth2studio-assets,session-3,3,commit_session,9dc13d03ec5a19fd2d5a8071641b67ef5ba2ca78,2026-06-05T20:41:28+00:00,ngeneva,3941132,6,ok
nvidia/earth2studio-assets,session-4,4,commit_session,ec2aea3340bc9632835229eeb119a86eb2703437,2026-06-07T03:13:31+00:00,ngeneva,4260638,1,ok
nvidia/earth2studio-assets,session-5,5,commit_session,b8a35227a38424a981d7cd33b75bfdb179bcbb35,2026-08-31T22:38:57+00:00,"ngeneva,dibyajyoti43",34202047,2,ok
